Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Jan,Feb,Mar,Apr,May,Jun,Total,Calculated Total,Total Variance,Total Check
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,4,3,4,1,8,3,23,23,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,1,0,1,0,0,0,2,2,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,1,0,1,1,0,0,3,3,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,4,8,6,0,7,2,27,27,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,JSW MG MOTOR INDIA PVT LTD,MG MOTOR,Diesel,0,0,0,1,0,0,1,1,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,KIA INDIA PRIVATE LIMITED,KIA,Diesel,12,3,0,3,6,5,29,29,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,1,0,0,0,0,1,1,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,14,13,9,10,6,2,54,54,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,OTHERS,OTHERS,Diesel,0,3,9,0,0,0,12,12,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,17,11,5,7,4,0,44,44,0,OK
RTA BHADRADRI - TG28( 27-FEB-2026 ).xlsx,RTA BHADRADRI,TG28,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,2,2,0,0,0,0,4,4,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,BMW INDIA PVT LTD,BMW,Diesel,1,0,0,0,0,0,1,1,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,2,0,2,0,0,0,4,4,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,9,9,11,2,9,2,42,42,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,KIA INDIA PRIVATE LIMITED,KIA,Diesel,14,10,0,6,8,3,41,41,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,2,0,3,0,0,5,5,0,OK
